pass_index,shard_id,attempt,worker_model,completion_timestamp,prompt_sha256,raw_result_sha256,score_only_sha256,non_zero_score_count,non_zero_rationale_count,non_zero_rationale_coverage
1,pass_1_shard_001,1,gpt-5.4,2026-03-20T06:28:45.583333+00:00,47360ba88d453cfe82f6493cf71fbbf7b5c7df3bb0db521d1d0f3153c32a49e7,6278eec9594836d4ec756ea5d0ea80b608492453492086df8d28b98f9719d6ee,202567a4cc7a4cdade11b20b2f28b181fbc24e45d1e65e75038f0097a69fe3fe,17,17,1.0
1,pass_1_shard_002,1,gpt-5.4,2026-03-20T06:26:35.891943+00:00,06980b149d9fa7d644174f78a5fccaf9963dee8165411561da16582771b98ef1,5b277e7f812ed628d3c8eb70b8d1c76a349fa888b578cc558f8fe359953cc24e,b038f79d25b0af200940cd284ae12860efe2929bf44431ffffbc46ec59dd6002,17,17,1.0
1,pass_1_shard_003,1,gpt-5.4,2026-03-20T06:28:00.320967+00:00,5ce576b3368b345ae5c45a760b35afc29c75d4b65a584f0388428222ffef76c3,bcb4cf07f003c8847fc25ddec08340033d8d6857cedd950b33865c2000323455,502d030fd70d9d229a9db91e511320d656e4c6043f1baccf4a8c988306d35bce,15,15,1.0
1,pass_1_shard_004,1,gpt-5.4,2026-03-20T06:28:45.643701+00:00,8929a6cdfa8ba8abe6e5f25ebee343a74e89c7b525bc0d90e947c751539a1b56,05850e9e78aedd28e424d48653d45ffe8a5ee1fac30da9552629893f0208df7f,7b0290107f7a84b0015925f66b35ea156080447e05eed3e4b9566cf897a842a0,17,17,1.0
1,pass_1_shard_005,1,gpt-5.4,2026-03-20T06:29:21.706506+00:00,f5d9a87368734e25ef2694c9f23e09509cb8b845fe40273eafea7162aba88e8e,719c9ff1e760052a7ef78271f783371e3f3d9373d5d7f633d944257fe36e7cf1,abf4312de9d4cbe78facbdbd610719e13a7d9d536502304229b08c5342233ddd,30,30,1.0
1,pass_1_shard_006,1,gpt-5.4,2026-03-20T06:28:00.321089+00:00,b7f66afec5cbe727a6d678e692789ca68509b579c945552672974deae53932af,cc6f0565edf451340ffc995fd6d7b12dc800f528e6e77fae3dd2e5e8358af6f0,5a49f1560d0619469bd0eedc3f1d07214d42c3856e65949c1d5a398ced97cad5,18,18,1.0
1,pass_1_shard_007,1,gpt-5.4,2026-03-20T06:25:02.322931+00:00,c3174412ab5bf0c299918999a2d241af74a7a30122d2b5acef905108e5bc49a2,92d4e7f262acb91248baf315c0ddbfac4df60241a741dfdaaf9394a8bc475429,f58aa93d3c79f2d24f0839c6edf1fee957d28f60f0544e080aee0364ec16129e,10,10,1.0
2,pass_2_shard_001,1,gpt-5.4,2026-03-20T06:33:11.667722+00:00,e185b3c891baf8485cc92eea444dfc0e1a597a80b66648842960aa31205eeddd,f9757951b81f029e204e6d2e2e9b3ca6a64fe59feab6e0553be6b2ba556c05f5,d09398a8c3da0dfbd69ff47013099c983b01d192a6b673d9ac0867cc2c6f8ffb,20,20,1.0
2,pass_2_shard_002,1,gpt-5.4,2026-03-20T06:37:21.128753+00:00,784dccb463e6a73b08984d6455a06c7e0219998686ab2168d66a803c95471c78,8ffa9b9e40aaee0e26f8065ad610c211d0ca0711a148a91c98060c6e819dafeb,cb73d7cc8023f616a9658d41cb5a80effc27993bf9272cdfc3afedb17c092367,19,19,1.0
2,pass_2_shard_003,1,gpt-5.4,2026-03-20T06:37:21.128941+00:00,0af855f66229396265c4cde523d1f1c8d35007736bb4c0e4adc27ac016af12fe,58dfc06f13435162e729dc776963db5ebc86c92bde1da69f1091e1b003fba402,c01819010d977e633b4ab786a44eac8cabb6a87e2820b17d6da1d961fd55ed94,15,15,1.0
